iter	Passed	Remaining
343	665	1269
344	667	1266
345	668	1263
346	669	1259
347	671	1258
348	672	1255
349	674	1251
350	675	1248
351	677	1246
352	679	1244
353	680	1241
354	681	1237
355	682	1234
356	683	1231
357	684	1227
358	686	1226
359	688	1223
360	689	1220
361	690	1217
362	693	1216
363	694	1213
364	695	1210
365	696	1207
366	698	1204
367	699	1200
368	703	1202
369	704	1200
370	706	1197
371	707	1194
372	708	1191
373	710	1188
374	711	1185
375	712	1182
376	717	1185
377	718	1182
378	719	1179
379	721	1177
380	723	1175
381	724	1172
382	726	1170
383	728	1168
384	729	1165
385	731	1163
386	732	1160
387	734	1157
388	735	1155
389	736	1152
390	738	1150
391	739	1147
392	740	1143
393	741	1140
394	742	1137
395	745	1136
396	746	1133
397	747	1131
398	749	1128
399	750	1125
400	752	1123
401	753	1120
402	754	1117
403	755	1114
404	756	1111
405	760	1113
406	762	1110
407	763	1108
408	766	1107
409	767	1104
410	768	1101
411	769	1098
412	770	1095
413	771	1092
414	774	1091
415	776	1089
416	777	1086
417	778	1083
418	779	1081
419	781	1079
420	782	1076
421	784	1074
422	785	1071
423	786	1068
424	790	1068
425	791	1066
426	793	1065
427	796	1064
428	798	1063
429	801	1062
430	805	1063
431	807	1061
432	808	1059
433	811	1058
434	813	1056
435	814	1053
436	816	1052
437	824	1058
438	826	1056
439	828	1054
440	830	1052
441	831	1049
442	832	1047
443	835	1045
444	836	1043
445	841	1045
446	848	1049
447	851	1048
448	852	1046
449	854	1044
450	856	1042
451	860	1043
452	865	1045
453	869	1045
454	871	1044
